Date,PMI Manufacturing *
10/31/2025,49.0
09/30/2025,49.8
08/29/2025,49.4
07/31/2025,49.3
06/30/2025,49.7
05/30/2025,49.5
04/30/2025,49.0
03/31/2025,50.5
02/28/2025,50.2
01/31/2025,49.1
12/31/2024,50.1
11/29/2024,50.3
10/31/2024,50.1
09/30/2024,49.8
08/30/2024,49.1
07/31/2024,49.4
06/28/2024,49.5
05/31/2024,49.5
04/30/2024,50.4
03/28/2024,50.8
02/29/2024,49.1
01/31/2024,49.2
12/29/2023,49.0
11/30/2023,49.4
10/31/2023,49.5
09/29/2023,50.2
08/31/2023,49.7
07/31/2023,49.3
06/30/2023,49.0
05/31/2023,48.8
04/28/2023,49.2
03/31/2023,51.9
02/28/2023,52.6
01/31/2023,50.1
12/30/2022,47.0
11/30/2022,48.0
10/31/2022,49.2
09/30/2022,50.1
08/31/2022,49.4
07/29/2022,49.0
06/30/2022,50.2
05/31/2022,49.6
04/29/2022,47.4
03/31/2022,49.5
02/28/2022,50.2
01/31/2022,50.1
12/31/2021,50.3
11/30/2021,50.1
10/29/2021,49.2
09/30/2021,49.6
08/31/2021,50.1
07/30/2021,50.4
06/30/2021,50.9
05/28/2021,51.0
04/30/2021,51.1
03/31/2021,51.9
02/26/2021,50.6
01/29/2021,51.3
