Date,LME Copper Stock Level (tons) - Close
31/10/2025,134950
30/10/2025,135350
29/10/2025,134575
28/10/2025,135975
27/10/2025,136350
24/10/2025,136925
23/10/2025,136850
22/10/2025,137150
21/10/2025,137175
20/10/2025,137225
17/10/2025,137450
16/10/2025,138350
15/10/2025,138800
14/10/2025,139350
13/10/2025,139400
10/10/2025,139475
09/10/2025,139200
08/10/2025,139425
07/10/2025,139550
06/10/2025,140475
03/10/2025,140950
02/10/2025,141725
01/10/2025,143400
30/09/2025,143900
29/09/2025,144400
26/09/2025,144425
25/09/2025,144775
24/09/2025,144975
23/09/2025,145375
22/09/2025,147650
19/09/2025,148875
18/09/2025,149775
17/09/2025,150950
16/09/2025,152625
15/09/2025,153950
12/09/2025,154175
11/09/2025,155050
10/09/2025,155275
09/09/2025,155825
08/09/2025,157950
05/09/2025,158375
04/09/2025,158575
03/09/2025,158775
02/09/2025,158875
29/08/2025,157950
28/08/2025,156100
27/08/2025,155000
26/08/2025,155975
25/08/2025,156350
22/08/2025,156350
21/08/2025,156350
20/08/2025,155150
19/08/2025,155600
18/08/2025,155800
15/08/2025,155850
14/08/2025,155875
13/08/2025,155000
12/08/2025,155700
11/08/2025,155850
08/08/2025,156000
07/08/2025,156125
06/08/2025,153850
05/08/2025,139575
04/08/2025,141750
01/08/2025,138200
31/07/2025,136850
30/07/2025,127625
29/07/2025,127400
28/07/2025,128475
25/07/2025,124775
24/07/2025,124825
23/07/2025,124850
22/07/2025,122075
21/07/2025,122175
18/07/2025,122150
17/07/2025,121000
16/07/2025,110475
15/07/2025,109625
14/07/2025,108725
11/07/2025,108100
10/07/2025,107125
09/07/2025,102500
08/07/2025,97400
07/07/2025,95275
03/07/2025,93250
02/07/2025,91250
01/07/2025,90625
30/06/2025,91275
27/06/2025,93075
26/06/2025,93475
25/06/2025,94675
24/06/2025,95875
23/06/2025,99200
20/06/2025,103325
18/06/2025,107550
17/06/2025,107325
16/06/2025,114475
13/06/2025,116850
12/06/2025,119450
11/06/2025,120400
10/06/2025,122400
09/06/2025,132400
06/06/2025,138000
05/06/2025,141350
04/06/2025,143850
03/06/2025,148450
02/06/2025,149875
30/05/2025,152375
29/05/2025,154300
28/05/2025,162150
27/05/2025,164725
23/05/2025,166525
22/05/2025,168825
21/05/2025,170750
20/05/2025,174325
19/05/2025,179375
16/05/2025,184650
15/05/2025,185575
14/05/2025,189650
13/05/2025,190750
12/05/2025,191775
09/05/2025,194275
08/05/2025,193975
07/05/2025,195625
06/05/2025,197300
05/05/2025,197700
02/05/2025,197700
01/05/2025,200150
30/04/2025,202500
29/04/2025,202800
28/04/2025,203450
25/04/2025,203425
24/04/2025,205250
23/04/2025,212700
22/04/2025,213400
21/04/2025,216250
17/04/2025,216250
16/04/2025,212475
15/04/2025,207825
14/04/2025,208775
11/04/2025,209425
10/04/2025,209425
09/04/2025,211925
08/04/2025,213450
07/04/2025,210225
04/04/2025,210800
03/04/2025,210450
02/04/2025,211875
01/04/2025,213275
31/03/2025,211375
28/03/2025,212925
27/03/2025,215275
26/03/2025,216750
25/03/2025,219950
24/03/2025,221775
21/03/2025,224600
20/03/2025,223275
19/03/2025,225175
18/03/2025,227700
17/03/2025,230975
14/03/2025,233750
13/03/2025,237200
12/03/2025,240325
11/03/2025,244175
10/03/2025,253325
07/03/2025,257325
06/03/2025,259175
05/03/2025,260150
04/03/2025,261000
03/03/2025,261050
28/02/2025,262075
27/02/2025,263650
26/02/2025,265025
25/02/2025,266700
24/02/2025,267225
21/02/2025,267750
20/02/2025,268750
19/02/2025,270900
18/02/2025,263775
14/02/2025,255225
13/02/2025,237925
12/02/2025,241650
11/02/2025,243300
10/02/2025,245825
07/02/2025,247625
06/02/2025,249275
05/02/2025,252325
04/02/2025,254950
03/02/2025,255125
31/01/2025,256225
30/01/2025,256275
29/01/2025,256300
28/01/2025,256500
27/01/2025,255825
24/01/2025,257625
23/01/2025,259050
22/01/2025,260400
21/01/2025,260525
17/01/2025,260075
16/01/2025,260250
15/01/2025,260750
14/01/2025,261900
13/01/2025,263450
10/01/2025,264425
08/01/2025,265700
07/01/2025,267150
06/01/2025,268650
03/01/2025,269800
02/01/2025,271350
31/12/2024,271400
30/12/2024,271400
27/12/2024,272725
26/12/2024,272725
24/12/2024,272725
23/12/2024,272425
20/12/2024,272325
19/12/2024,272325
18/12/2024,272325
17/12/2024,272450
16/12/2024,272625
13/12/2024,272825
12/12/2024,268425
11/12/2024,268500
10/12/2024,268100
09/12/2024,269800
06/12/2024,269800
05/12/2024,270525
04/12/2024,268500
03/12/2024,268625
02/12/2024,270725
29/11/2024,271000
27/11/2024,269050
26/11/2024,269475
25/11/2024,270975
22/11/2024,272525
21/11/2024,272625
20/11/2024,271850
19/11/2024,271975
18/11/2024,271525
15/11/2024,271875
14/11/2024,272200
13/11/2024,273100
12/11/2024,271225
11/11/2024,271875
08/11/2024,272400
07/11/2024,272525
06/11/2024,272550
05/11/2024,272975
04/11/2024,273850
01/11/2024,271375
31/10/2024,271375
30/10/2024,275300
29/10/2024,274225
28/10/2024,276100
25/10/2024,276775
24/10/2024,278325
23/10/2024,279625
22/10/2024,280100
21/10/2024,282200
18/10/2024,284200
17/10/2024,287425
16/10/2024,288750
15/10/2024,288125
14/10/2024,292850
11/10/2024,297550
10/10/2024,299350
09/10/2024,294825
08/10/2024,296275
07/10/2024,297300
04/10/2024,298525
03/10/2024,298100
02/10/2024,300275
01/10/2024,300175
30/09/2024,300600
27/09/2024,302525
26/09/2024,303050
25/09/2024,303350
24/09/2024,301850
23/09/2024,301700
20/09/2024,303350
19/09/2024,304925
18/09/2024,305250
17/09/2024,306500
16/09/2024,308550
13/09/2024,311525
12/09/2024,311650
11/09/2024,314950
10/09/2024,316175
09/09/2024,316450
06/09/2024,317575
05/09/2024,317175
04/09/2024,318650
03/09/2024,317800
30/08/2024,320925
29/08/2024,322950
28/08/2024,314250
27/08/2024,317175
26/08/2024,315575
23/08/2024,315575
22/08/2024,319700
21/08/2024,319625
20/08/2024,320050
19/08/2024,308075
16/08/2024,309050
15/08/2024,307450
14/08/2024,307425
13/08/2024,305625
12/08/2024,296125
09/08/2024,296400
08/08/2024,294425
07/08/2024,294750
06/08/2024,252575
05/08/2024,251350
02/08/2024,246500
01/08/2024,245150
31/07/2024,239275
30/07/2024,239400
29/07/2024,239100
26/07/2024,237750
25/07/2024,239425
24/07/2024,241750
23/07/2024,236700
22/07/2024,234400
19/07/2024,231425
18/07/2024,227425
17/07/2024,221100
16/07/2024,216475
15/07/2024,210325
12/07/2024,206225
11/07/2024,206775
10/07/2024,195475
09/07/2024,191025
08/07/2024,191475
05/07/2024,191625
03/07/2024,186450
02/07/2024,184475
01/07/2024,180050
28/06/2024,180125
27/06/2024,177750
26/06/2024,175475
25/06/2024,172850
24/06/2024,167825
21/06/2024,165175
20/06/2024,161925
18/06/2024,155850
17/06/2024,136675
14/06/2024,133925
13/06/2024,132075
12/06/2024,127425
11/06/2024,127325
10/06/2024,125325
07/06/2024,123800
06/06/2024,122200
05/06/2024,120000
04/06/2024,118950
03/06/2024,116000
31/05/2024,116475
30/05/2024,118125
29/05/2024,117300
28/05/2024,114750
24/05/2024,112675
23/05/2024,110025
22/05/2024,110250
21/05/2024,108200
20/05/2024,105900
17/05/2024,103650
16/05/2024,104425
15/05/2024,104625
14/05/2024,104750
13/05/2024,103100
10/05/2024,103450
09/05/2024,104375
08/05/2024,106000
07/05/2024,107350
06/05/2024,111300
03/05/2024,111300
02/05/2024,115275
01/05/2024,117375
30/04/2024,116125
29/04/2024,117500
26/04/2024,118550
25/04/2024,120400
24/04/2024,120225
23/04/2024,120600
22/04/2024,121200
19/04/2024,122125
18/04/2024,122925
17/04/2024,123775
16/04/2024,123875
15/04/2024,123475
12/04/2024,124425
11/04/2024,124850
10/04/2024,123475
09/04/2024,124225
08/04/2024,114275
05/04/2024,115525
04/04/2024,112525
03/04/2024,112975
02/04/2024,111925
01/04/2024,112475
28/03/2024,112475
27/03/2024,113100
26/03/2024,117400
25/03/2024,117900
22/03/2024,113850
21/03/2024,111325
20/03/2024,112325
19/03/2024,106700
18/03/2024,106825
15/03/2024,107300
14/03/2024,108050
13/03/2024,108925
12/03/2024,110900
11/03/2024,110850
08/03/2024,112800
07/03/2024,113525
06/03/2024,113775
05/03/2024,114075
04/03/2024,116775
01/03/2024,121375
29/02/2024,122675
28/02/2024,124825
27/02/2024,126525
26/02/2024,127825
23/02/2024,122900
22/02/2024,122775
21/02/2024,124075
20/02/2024,125925
16/02/2024,130675
15/02/2024,132525
14/02/2024,133825
13/02/2024,135450
12/02/2024,136300
09/02/2024,136825
08/02/2024,136825
07/02/2024,137850
06/02/2024,138800
05/02/2024,139425
02/02/2024,140225
01/02/2024,145425
31/01/2024,146475
30/01/2024,148475
29/01/2024,150350
26/01/2024,151350
25/01/2024,155175
24/01/2024,157725
23/01/2024,159575
22/01/2024,156750
19/01/2024,157875
18/01/2024,157325
17/01/2024,154075
16/01/2024,154725
12/01/2024,155825
11/01/2024,157325
10/01/2024,158900
09/01/2024,160550
08/01/2024,161725
05/01/2024,163175
04/01/2024,164450
03/01/2024,165700
02/01/2024,165700
29/12/2023,167300
28/12/2023,166775
27/12/2023,165050
26/12/2023,166675
22/12/2023,166675
21/12/2023,165450
20/12/2023,166675
19/12/2023,168650
18/12/2023,172450
15/12/2023,175550
14/12/2023,178075
13/12/2023,179550
12/12/2023,180175
11/12/2023,182200
08/12/2023,181600
07/12/2023,182750
06/12/2023,182075
05/12/2023,180550
04/12/2023,174900
01/12/2023,174250
30/11/2023,175250
29/11/2023,174950
28/11/2023,176400
27/11/2023,177800
24/11/2023,178525
22/11/2023,179050
21/11/2023,179025
20/11/2023,179975
17/11/2023,181275
16/11/2023,181950
15/11/2023,167850
14/11/2023,167850
13/11/2023,167850
10/11/2023,167850
09/11/2023,167850
08/11/2023,167850
07/11/2023,167850
06/11/2023,167850
03/11/2023,167850
02/11/2023,167850
01/11/2023,167850
31/10/2023,174400
30/10/2023,176475
27/10/2023,178400
26/10/2023,180600
25/10/2023,182900
24/10/2023,185175
23/10/2023,187475
20/10/2023,190450
19/10/2023,191925
18/10/2023,191850
17/10/2023,191675
16/10/2023,180675
13/10/2023,181000
12/10/2023,180900
11/10/2023,181150
10/10/2023,179675
09/10/2023,171525
06/10/2023,170475
05/10/2023,170175
04/10/2023,169900
03/10/2023,168425
02/10/2023,168600
29/09/2023,169300
28/09/2023,167825
27/09/2023,167825
26/09/2023,166850
25/09/2023,163900
22/09/2023,162900
21/09/2023,162900
20/09/2023,155700
19/09/2023,149600
18/09/2023,147575
15/09/2023,143375
14/09/2023,143375
13/09/2023,143400
12/09/2023,135650
11/09/2023,134525
08/09/2023,134125
07/09/2023,133850
06/09/2023,110400
05/09/2023,107400
01/09/2023,104275
31/08/2023,102900
30/08/2023,99225
29/08/2023,97650
28/08/2023,97525
25/08/2023,97525
24/08/2023,96625
23/08/2023,95425
22/08/2023,95425
21/08/2023,95325
18/08/2023,92200
17/08/2023,91400
16/08/2023,90875
15/08/2023,90150
14/08/2023,85375
11/08/2023,84900
10/08/2023,83000
09/08/2023,81000
08/08/2023,80300
07/08/2023,79325
04/08/2023,79325
03/08/2023,76875
02/08/2023,75275
01/08/2023,74175
31/07/2023,68350
28/07/2023,64425
27/07/2023,62250
26/07/2023,60700
25/07/2023,60775
24/07/2023,60225
21/07/2023,59900
20/07/2023,58800
19/07/2023,59325
18/07/2023,59200
17/07/2023,59175
14/07/2023,57175
13/07/2023,54225
12/07/2023,54450
11/07/2023,57075
10/07/2023,59425
07/07/2023,62975
06/07/2023,65175
05/07/2023,67200
03/07/2023,69700
30/06/2023,72975
29/06/2023,75425
28/06/2023,75275
27/06/2023,77050
26/06/2023,80100
23/06/2023,79300
22/06/2023,80400
21/06/2023,84725
20/06/2023,86325
16/06/2023,90625
15/06/2023,79525
14/06/2023,84250
13/06/2023,89300
12/06/2023,95400
09/06/2023,97650
08/06/2023,99450
07/06/2023,100100
06/06/2023,99825
05/06/2023,98950
02/06/2023,98675
01/06/2023,99525
31/05/2023,99150
30/05/2023,99700
26/05/2023,97725
25/05/2023,96950
24/05/2023,96675
23/05/2023,95025
22/05/2023,92250
19/05/2023,91975
18/05/2023,90525
17/05/2023,86625
16/05/2023,83825
15/05/2023,76875
12/05/2023,76625
11/05/2023,75950
10/05/2023,75375
09/05/2023,71675
08/05/2023,70425
05/05/2023,70425
04/05/2023,67775
03/05/2023,67300
02/05/2023,66350
01/05/2023,64550
28/04/2023,64550
27/04/2023,62675
26/04/2023,61825
25/04/2023,60775
24/04/2023,53875
21/04/2023,51875
20/04/2023,51850
19/04/2023,51175
18/04/2023,53050
17/04/2023,51775
14/04/2023,51550
13/04/2023,54425
12/04/2023,56800
11/04/2023,62275
10/04/2023,65425
06/04/2023,65425
05/04/2023,65250
04/04/2023,66100
03/04/2023,63850
31/03/2023,64725
30/03/2023,69525
29/03/2023,68075
28/03/2023,68400
27/03/2023,70600
24/03/2023,72675
23/03/2023,73475
22/03/2023,74600
21/03/2023,76400
20/03/2023,76925
17/03/2023,74700
16/03/2023,74975
15/03/2023,73400
14/03/2023,70175
13/03/2023,71300
10/03/2023,71725
09/03/2023,72375
08/03/2023,73350
07/03/2023,74375
06/03/2023,72400
03/03/2023,70550
02/03/2023,64225
01/03/2023,63200
28/02/2023,64100
27/02/2023,64275
24/02/2023,63775
23/02/2023,65000
22/02/2023,65425
21/02/2023,65225
17/02/2023,64825
16/02/2023,64975
15/02/2023,65975
14/02/2023,63800
13/02/2023,62575
10/02/2023,63100
09/02/2023,64475
08/02/2023,65100
07/02/2023,66475
06/02/2023,67450
03/02/2023,70000
02/02/2023,72450
01/02/2023,74375
31/01/2023,75225
30/01/2023,76100
27/01/2023,73975
26/01/2023,75900
25/01/2023,77100
24/01/2023,78150
23/01/2023,78300
20/01/2023,80025
19/01/2023,81600
18/01/2023,81925
17/01/2023,83325
13/01/2023,83850
12/01/2023,84550
11/01/2023,84800
10/01/2023,84775
09/01/2023,85150
06/01/2023,86400
05/01/2023,87775
04/01/2023,88575
03/01/2023,88550
30/12/2022,88925
29/12/2022,86025
28/12/2022,81400
27/12/2022,81475
23/12/2022,81475
22/12/2022,81100
21/12/2022,81350
20/12/2022,82600
19/12/2022,83575
16/12/2022,84100
15/12/2022,83725
14/12/2022,85525
13/12/2022,81875
12/12/2022,84300
09/12/2022,85425
08/12/2022,87375
07/12/2022,88475
06/12/2022,86375
05/12/2022,86725
02/12/2022,87450
01/12/2022,88275
30/11/2022,89700
29/11/2022,90900
28/11/2022,91200
25/11/2022,90750
23/11/2022,91525
22/11/2022,91875
21/11/2022,91250
18/11/2022,89750
17/11/2022,89925
16/11/2022,89675
15/11/2022,89975
14/11/2022,86800
11/11/2022,77875
10/11/2022,80025
09/11/2022,80975
08/11/2022,83075
07/11/2022,84550
04/11/2022,88600
03/11/2022,93975
02/11/2022,102225
01/11/2022,106425
31/10/2022,113125
28/10/2022,119375
27/10/2022,125825
26/10/2022,130800
25/10/2022,134400
24/10/2022,134700
21/10/2022,137325
20/10/2022,136700
19/10/2022,139000
18/10/2022,143825
17/10/2022,142950
14/10/2022,145650
13/10/2022,145400
12/10/2022,145525
11/10/2022,145750
10/10/2022,143775
07/10/2022,143775
06/10/2022,140200
05/10/2022,138650
04/10/2022,136750
03/10/2022,135750
30/09/2022,135250
29/09/2022,134900
28/09/2022,133550
27/09/2022,130850
26/09/2022,129000
23/09/2022,124725
22/09/2022,122775
21/09/2022,118000
20/09/2022,107150
19/09/2022,105075
16/09/2022,102000
15/09/2022,103225
14/09/2022,103025
13/09/2022,103650
12/09/2022,105425
09/09/2022,105450
08/09/2022,102725
07/09/2022,103300
06/09/2022,106000
02/09/2022,110550
01/09/2022,114325
31/08/2022,118500
30/08/2022,121000
29/08/2022,120525
26/08/2022,120525
25/08/2022,122125
24/08/2022,123275
23/08/2022,122375
22/08/2022,122575
19/08/2022,123825
18/08/2022,126475
17/08/2022,128875
16/08/2022,129475
15/08/2022,130550
12/08/2022,131850
11/08/2022,131575
10/08/2022,126525
09/08/2022,126975
08/08/2022,127850
05/08/2022,128600
04/08/2022,129575
03/08/2022,130250
02/08/2022,130975
01/08/2022,131275
29/07/2022,130575
28/07/2022,131700
27/07/2022,132500
26/07/2022,132025
25/07/2022,133175
22/07/2022,133925
21/07/2022,133550
20/07/2022,135575
19/07/2022,136200
18/07/2022,130275
15/07/2022,130425
14/07/2022,129250
13/07/2022,130975
12/07/2022,131775
11/07/2022,133100
08/07/2022,133025
07/07/2022,135350
06/07/2022,135775
05/07/2022,136400
01/07/2022,126850
30/06/2022,124275
29/06/2022,123825
28/06/2022,124625
27/06/2022,124850
24/06/2022,113025
23/06/2022,113475
22/06/2022,114175
21/06/2022,115150
17/06/2022,118025
16/06/2022,121000
15/06/2022,121525
14/06/2022,119875
13/06/2022,117975
10/06/2022,117750
09/06/2022,118175
08/06/2022,116900
07/06/2022,120775
06/06/2022,140975
03/06/2022,145950
02/06/2022,145950
01/06/2022,145950
31/05/2022,149200
27/05/2022,156175
26/05/2022,162425
25/05/2022,168150
24/05/2022,170650
23/05/2022,171075
20/05/2022,174600
19/05/2022,178550
18/05/2022,180925
17/05/2022,176575
16/05/2022,176550
13/05/2022,177000
12/05/2022,176875
11/05/2022,175875
10/05/2022,167825
09/05/2022,169175
06/05/2022,170025
05/05/2022,168800
04/05/2022,154475
03/05/2022,156225
02/05/2022,156050
29/04/2022,156050
28/04/2022,150850
27/04/2022,148500
26/04/2022,135175
25/04/2022,137275
22/04/2022,137775
21/04/2022,130500
20/04/2022,128775
19/04/2022,118825
18/04/2022,110675
14/04/2022,110675
13/04/2022,107000
12/04/2022,104350
11/04/2022,105600
08/04/2022,103775
07/04/2022,101275
06/04/2022,94925
05/04/2022,95975
04/04/2022,94800
01/04/2022,93975
31/03/2022,91400
30/03/2022,87925
29/03/2022,81500
28/03/2022,80550
25/03/2022,80600
24/03/2022,80675
23/03/2022,79975
22/03/2022,80100
21/03/2022,80150
18/03/2022,79500
17/03/2022,77600
16/03/2022,77475
15/03/2022,77525
14/03/2022,78000
11/03/2022,74200
10/03/2022,71900
09/03/2022,71875
08/03/2022,69600
07/03/2022,70250
04/03/2022,69825
03/03/2022,71375
02/03/2022,72075
01/03/2022,72875
28/02/2022,73025
25/02/2022,74875
24/02/2022,74750
23/02/2022,74325
22/02/2022,74475
18/02/2022,74075
17/02/2022,74275
16/02/2022,75275
15/02/2022,70125
14/02/2022,72225
11/02/2022,74100
10/02/2022,76325
09/02/2022,77325
08/02/2022,79925
07/02/2022,80025
04/02/2022,82225
03/02/2022,82400
02/02/2022,84875
01/02/2022,86500
31/01/2022,87650
28/01/2022,90125
27/01/2022,91350
26/01/2022,93250
25/01/2022,96675
24/01/2022,97575
21/01/2022,99775
20/01/2022,98725
19/01/2022,98750
18/01/2022,94525
14/01/2022,86300
13/01/2022,83800
12/01/2022,84025
11/01/2022,84025
10/01/2022,84025
07/01/2022,84775
06/01/2022,85950
05/01/2022,86950
04/01/2022,88725
03/01/2022,88950
31/12/2021,88950
30/12/2021,89375
29/12/2021,89100
28/12/2021,89275
27/12/2021,89275
23/12/2021,89125
22/12/2021,89400
21/12/2021,89925
20/12/2021,89000
17/12/2021,89150
16/12/2021,89475
15/12/2021,88650
14/12/2021,87375
13/12/2021,84450
10/12/2021,81775
09/12/2021,77925
08/12/2021,75175
07/12/2021,74225
06/12/2021,77875
03/12/2021,78350
02/12/2021,78225
01/12/2021,78625
30/11/2021,76450
29/11/2021,80075
26/11/2021,83800
24/11/2021,82225
23/11/2021,81600
22/11/2021,86525
19/11/2021,89875
18/11/2021,97600
17/11/2021,99450
16/11/2021,93925
15/11/2021,95700
12/11/2021,100300
11/11/2021,104175
10/11/2021,106125
09/11/2021,109550
08/11/2021,115525
05/11/2021,122600
04/11/2021,123400
03/11/2021,126475
02/11/2021,123925
01/11/2021,131300
29/10/2021,140175
28/10/2021,143650
27/10/2021,153675
26/10/2021,155150
25/10/2021,159800
22/10/2021,161550
21/10/2021,165925
20/10/2021,172025
19/10/2021,178225
18/10/2021,181375
15/10/2021,181400
14/10/2021,187050
13/10/2021,191600
12/10/2021,195250
11/10/2021,197650
08/10/2021,199250
07/10/2021,200575
06/10/2021,202500
05/10/2021,212125
04/10/2021,216725
01/10/2021,217175
30/09/2021,219525
29/09/2021,220875
28/09/2021,226625
27/09/2021,223175
24/09/2021,226175
23/09/2021,226025
22/09/2021,229725
21/09/2021,231075
20/09/2021,239500
17/09/2021,240800
16/09/2021,231200
15/09/2021,234000
14/09/2021,235950
13/09/2021,240350
10/09/2021,233950
09/09/2021,233950
08/09/2021,237700
07/09/2021,242550
03/09/2021,252225
02/09/2021,252400
01/09/2021,252725
31/08/2021,253000
30/08/2021,254250
27/08/2021,254250
26/08/2021,254300
25/08/2021,254300
24/08/2021,254775
23/08/2021,254800
20/08/2021,251450
19/08/2021,245125
18/08/2021,245125
17/08/2021,236325
16/08/2021,235550
13/08/2021,235650
12/08/2021,235775
11/08/2021,235925
10/08/2021,236100
09/08/2021,234925
06/08/2021,235250
05/08/2021,236100
04/08/2021,237025
03/08/2021,238000
02/08/2021,238650
30/07/2021,239650
29/07/2021,235175
28/07/2021,230225
27/07/2021,225225
26/07/2021,225225
23/07/2021,224750
22/07/2021,224250
21/07/2021,224400
20/07/2021,225650
19/07/2021,226300
16/07/2021,224175
15/07/2021,222625
14/07/2021,221800
13/07/2021,220575
12/07/2021,219175
09/07/2021,216800
08/07/2021,214575
07/07/2021,214575
06/07/2021,212325
02/07/2021,211950
01/07/2021,211975
30/06/2021,211525
29/06/2021,210350
28/06/2021,210925
25/06/2021,210975
24/06/2021,192975
23/06/2021,159800
22/06/2021,160950
21/06/2021,161050
18/06/2021,168675
17/06/2021,143750
16/06/2021,142625
15/06/2021,140625
14/06/2021,138300
11/06/2021,132450
10/06/2021,131775
09/06/2021,129675
08/06/2021,127200
07/06/2021,124700
04/06/2021,124675
03/06/2021,125450
02/06/2021,123350
01/06/2021,120700
28/05/2021,122425
27/05/2021,123750
26/05/2021,124700
25/05/2021,125925
24/05/2021,125825
21/05/2021,126675
20/05/2021,117300
19/05/2021,117075
18/05/2021,119025
17/05/2021,119875
14/05/2021,121250
13/05/2021,112150
12/05/2021,115950
11/05/2021,118875
10/05/2021,123200
07/05/2021,126725
06/05/2021,130750
05/05/2021,132775
04/05/2021,137400
03/05/2021,143725
30/04/2021,143725
29/04/2021,147325
28/04/2021,148975
27/04/2021,154600
26/04/2021,155100
23/04/2021,155750
22/04/2021,158975
21/04/2021,159450
20/04/2021,160350
19/04/2021,163050
16/04/2021,165375
15/04/2021,169475
14/04/2021,172025
13/04/2021,168500
12/04/2021,165625
09/04/2021,163100
08/04/2021,157075
07/04/2021,143425
06/04/2021,143425
05/04/2021,143775
01/04/2021,143775
31/03/2021,144500
30/03/2021,142550
29/03/2021,132050
26/03/2021,123800
25/03/2021,121675
24/03/2021,121950
23/03/2021,122425
22/03/2021,113900
19/03/2021,104950
18/03/2021,106425
17/03/2021,107275
16/03/2021,103900
15/03/2021,92650
12/03/2021,93450
11/03/2021,90825
10/03/2021,88025
09/03/2021,85050
08/03/2021,84250
05/03/2021,79025
04/03/2021,79825
03/03/2021,74100
02/03/2021,73700
01/03/2021,74200
26/02/2021,76225
25/02/2021,78575
24/02/2021,79700
23/02/2021,73450
22/02/2021,74900
19/02/2021,75700
18/02/2021,76025
17/02/2021,76175
16/02/2021,73725
12/02/2021,74700
11/02/2021,73500
10/02/2021,74675
09/02/2021,76050
08/02/2021,74575
05/02/2021,76550
04/02/2021,74500
03/02/2021,75000
02/02/2021,74225
01/02/2021,74275
29/01/2021,74575
28/01/2021,76250
27/01/2021,77175
26/01/2021,79275
25/01/2021,82125
22/01/2021,87725
21/01/2021,91150
20/01/2021,93950
19/01/2021,96325
15/01/2021,99950
14/01/2021,101250
13/01/2021,102550
12/01/2021,103750
11/01/2021,104950
08/01/2021,102425
07/01/2021,104325
06/01/2021,105425
05/01/2021,105425
04/01/2021,105800
